0x100034 : 0x23(s?), offset:40, base:2, src:1
0x100038 : 0x23(s?), offset:32, base:2, src:8
0x10003c : 0x23(s?), offset:24, base:2, src:9
0x100040 : 0x13(addi), dest:8, src:2, imm:48
0x100044 : 0x13(addi), dest:15, src:10, imm:0
0x100048 : 0x23(s?), offset:-36, base:8, src:15
0x10004c : 0x3(lw), dest:15, base:8, imm:-36
0x100050 : 0x1b(addiw), rd:15, rs1:15, imm:0(0x0)
0x100054 : 0x63(beq), rs1:15, rs2:0, imm:20(0x14)
0x100058 : 0x3(lw), dest:15, base:8, imm:-36
0x10005c : 0x1b(addiw), rd:14, rs1:15, imm:0(0x0)
0x100060 : 0x13(addi), dest:15, src:0, imm:1
0x100064 : 0x63(bne), rs1:14, rs2:15, imm:12(0xc)
0x100070 : 0x3(lw), dest:15, base:8, imm:-36
0x100074 : 0x1b(addiw), rd:15, rs1:15, imm:-1(0xffffffff)
0x100078 : 0x1b(addiw), rd:15, rs1:15, imm:0(0x0)
0x10007c : 0x13(addi), dest:10, src:15, imm:0
0x100080 : 0x6f(jal), dest:1, offset:-80(0xffffffffffffffb0)
0x100030 : 0x13(addi), dest:2, src:2, imm:-48
0x100034 : 0x23(s?), offset:40, base:2, src:1
0x100038 : 0x23(s?), offset:32, base:2, src:8
0x10003c : 0x23(s?), offset:24, base:2, src:9
0x100040 : 0x13(addi), dest:8, src:2, imm:48
0x100044 : 0x13(addi), dest:15, src:10, imm:0
0x100048 : 0x23(s?), offset:-36, base:8, src:15
0x10004c : 0x3(lw), dest:15, base:8, imm:-36
0x100050 : 0x1b(addiw), rd:15, rs1:15, imm:0(0x0)
0x100054 : 0x63(beq), rs1:15, rs2:0, imm:20(0x14)
0x100058 : 0x3(lw), dest:15, base:8, imm:-36
0x10005c : 0x1b(addiw), rd:14, rs1:15, imm:0(0x0)
0x100060 : 0x13(addi), dest:15, src:0, imm:1
0x100064 : 0x63(bne), rs1:14, rs2:15, imm:12(0xc)
0x100070 : 0x3(lw), dest:15, base:8, imm:-36
0x100074 : 0x1b(addiw), rd:15, rs1:15, imm:-1(0xffffffff)
0x100078 : 0x1b(addiw), rd:15, rs1:15, imm:0(0x0)
0x10007c : 0x13(addi), dest:10, src:15, imm:0
0x100080 : 0x6f(jal), dest:1, offset:-80(0xffffffffffffffb0)
0x100030 : 0x13(addi), dest:2, src:2, imm:-48
0x100034 : 0x23(s?), offset:40, base:2, src:1
0x100038 : 0x23(s?), offset:32, base:2, src:8
0x10003c : 0x23(s?), offset:24, base:2, src:9
0x100040 : 0x13(addi), dest:8, src:2, imm:48
0x100044 : 0x13(addi), dest:15, src:10, imm:0
0x100048 : 0x23(s?), offset:-36, base:8, src:15
0x10004c : 0x3(lw), dest:15, base:8, imm:-36
0x100050 : 0x1b(addiw), rd:15, rs1:15, imm:0(0x0)
0x100054 : 0x63(beq), rs1:15, rs2:0, imm:20(0x14)
0x100058 : 0x3(lw), dest:15, base:8, imm:-36
0x10005c : 0x1b(addiw), rd:14, rs1:15, imm:0(0x0)
0x100060 : 0x13(addi), dest:15, src:0, imm:1
0x100064 : 0x63(bne), rs1:14, rs2:15, imm:12(0xc)
0x100070 : 0x3(lw), dest:15, base:8, imm:-36
0x100074 : 0x1b(addiw), rd:15, rs1:15, imm:-1(0xffffffff)
0x100078 : 0x1b(addiw), rd:15, rs1:15, imm:0(0x0)
0x10007c : 0x13(addi), dest:10, src:15, imm:0
0x100080 : 0x6f(jal), dest:1, offset:-80(0xffffffffffffffb0)
0x100030 : 0x13(addi), dest:2, src:2, imm:-48
0x100034 : 0x23(s?), offset:40, base:2, src:1
0x100038 : 0x23(s?), offset:32, base:2, src:8
0x10003c : 0x23(s?), offset:24, base:2, src:9
0x100040 : 0x13(addi), dest:8, src:2, imm:48
0x100044 : 0x13(addi), dest:15, src:10, imm:0
0x100048 : 0x23(s?), offset:-36, base:8, src:15
0x10004c : 0x3(lw), dest:15, base:8, imm:-36
0x100050 : 0x1b(addiw), rd:15, rs1:15, imm:0(0x0)
0x100054 : 0x63(beq), rs1:15, rs2:0, imm:20(0x14)
0x100058 : 0x3(lw), dest:15, base:8, imm:-36
0x10005c : 0x1b(addiw), rd:14, rs1:15, imm:0(0x0)
0x100060 : 0x13(addi), dest:15, src:0, imm:1
0x100064 : 0x63(bne), rs1:14, rs2:15, imm:12(0xc)
0x100070 : 0x3(lw), dest:15, base:8, imm:-36
0x100074 : 0x1b(addiw), rd:15, rs1:15, imm:-1(0xffffffff)
0x100078 : 0x1b(addiw), rd:15, rs1:15, imm:0(0x0)
0x10007c : 0x13(addi), dest:10, src:15, imm:0
0x100080 : 0x6f(jal), dest:1, offset:-80(0xffffffffffffffb0)
0x100030 : 0x13(addi), dest:2, src:2, imm:-48
0x100034 : 0x23(s?), offset:40, base:2, src:1
0x100038 : 0x23(s?), offset:32, base:2, src:8
0x10003c : 0x23(s?), offset:24, base:2, src:9
0x100040 : 0x13(addi), dest:8, src:2, imm:48
0x100044 : 0x13(addi), dest:15, src:10, imm:0
0x100048 : 0x23(s?), offset:-36, base:8, src:15
0x10004c : 0x3(lw), dest:15, base:8, imm:-36
0x100050 : 0x1b(addiw), rd:15, rs1:15, imm:0(0x0)
0x100054 : 0x63(beq), rs1:15, rs2:0, imm:20(0x14)
0x100058 : 0x3(lw), dest:15, base:8, imm:-36
0x10005c : 0x1b(addiw), rd:14, rs1:15, imm:0(0x0)
0x100060 : 0x13(addi), dest:15, src:0, imm:1
0x100064 : 0x63(bne), rs1:14, rs2:15, imm:12(0xc)
0x100068 : 0x3(lw), dest:15, base:8, imm:-36
0x10006c : 0x6f(jal), dest:0, offset:64(0x40)
0x1000ac : 0x13(addi), dest:10, src:15, imm:0
0x1000b0 : 0x3(ld), dest:1, base:2, imm:40
0x1000b4 : 0x3(ld), dest:8, base:2, imm:32
0x1000b8 : 0x3(ld), dest:9, base:2, imm:24
0x1000bc : 0x13(addi), dest:2, src:2, imm:48
0x1000c0 : 0x67(jalr), dest:0, base:1, offset:0(0x0)
0x100084 : 0x13(addi), dest:15, src:10, imm:0
0x100088 : 0x13(addi), dest:9, src:15, imm:0
0x10008c : 0x3(lw), dest:15, base:8, imm:-36
0x100090 : 0x1b(addiw), rd:15, rs1:15, imm:-2(0xfffffffe)
0x100094 : 0x1b(addiw), rd:15, rs1:15, imm:0(0x0)
0x100098 : 0x13(addi), dest:10, src:15, imm:0
0x10009c : 0x6f(jal), dest:1, offset:-108(0xffffffffffffff94)
0x100030 : 0x13(addi), dest:2, src:2, imm:-48
0x100034 : 0x23(s?), offset:40, base:2, src:1
0x100038 : 0x23(s?), offset:32, base:2, src:8
0x10003c : 0x23(s?), offset:24, base:2, src:9
0x100040 : 0x13(addi), dest:8, src:2, imm:48
0x100044 : 0x13(addi), dest:15, src:10, imm:0
0x100048 : 0x23(s?), offset:-36, base:8, src:15
0x10004c : 0x3(lw), dest:15, base:8, imm:-36
0x100050 : 0x1b(addiw), rd:15, rs1:15, imm:0(0x0)
0x100054 : 0x63(beq), rs1:15, rs2:0, imm:20(0x14)
0x100068 : 0x3(lw), dest:15, base:8, imm:-36
0x10006c : 0x6f(jal), dest:0, offset:64(0x40)
0x1000ac : 0x13(addi), dest:10, src:15, imm:0
0x1000b0 : 0x3(ld), dest:1, base:2, imm:40
0x1000b4 : 0x3(ld), dest:8, base:2, imm:32
0x1000b8 : 0x3(ld), dest:9, base:2, imm:24
0x1000bc : 0x13(addi), dest:2, src:2, imm:48
0x1000c0 : 0x67(jalr), dest:0, base:1, offset:0(0x0)
0x1000a0 : 0x13(addi), dest:15, src:10, imm:0
